actual_fra,actual_eng,predicted_eng
la faculté vautelle le coup ,is college worth it,the       
cest très grand,its very big,thats very big     
jy ai pénétré,i went inside,i got to     
pardonnez tom ,forgive tom,send tom      
veuxtu quelque chose ,do you want anything,do you want something    
je fus bon,i was good,i was good     
tom a du charisme,tom has charisma,tom has lunch     
jai la nausée,i feel nauseous,i have my     
je pensais que tu étais parti,i thought youd left,i thought youd left    
sagitil de vin ,is this wine,is this wine     
la laine se teint joliment,wool dyes nicely,the shotgun is away    
nous étions occupées,we were busy,we were busy     
continue ,get on with it,keep on      
ils moururent sur le champ de bataille,they died in battle,they agreed up the    
avezvous arrêté tom ,did you stop tom,did you tom     
tom est naïf,tom is naive,tom is gullible     
je suis encore marié,im still married,im still married     
nous sommes trop vulnérables,were too vulnerable,were too      
elle a dit  « regarde »,look she said,she has a     
je nen ai pas encore terminé,im not finished yet,im not done yet    
veuillez me montrer cela je vous prie,please show me that,please dont wake that    
je pourrais manger un cheval,i could eat a horse,i could the a    
mettezvous debout ,get on your feet,get up      
questce que tu as dit ,pardon me,what  you tell    
tu es très ingénieuse,youre very clever,youre very clever     
ne lempire pas ,dont make it worse,dont overdo      
tom a le moral à zéro,tom is glum,tom loves ponies     
elles dirent non,they said no,they said no     
tu es une romantique,youre a romantic,youre a romantic     
jai besoin de temps,i need time,i need time     
je vais ignorer ça,ill ignore that,im see that     
cest vraiment génial,thats really awesome,this really awesome amazing    
rebondissons ,lets bounce,beats it      
je sais quoi étudier,i know what to study,i know  to lose   
pourquoi estce que tu as mangé ça ,why did you eat that,why do you eat this   
cest difficile à croire,its hard to believe,its hard to     
je narriverais pas à tenir,i couldnt stand,i dont one     
oublie ,just forget it,forget it      
il lave sa voiture,he is washing his car,he has his car keys   
êtesvous perdus ,are you all lost,are you lost     
ils sont bizarres,theyre weird,theyre strange      
elle laime toujours,she still loves him,she still loves him    
je connais cette fille,i know the girl,i know this girl    
jai oublié le mot de passe,i forgot the password,i forgot your toilet    
jai la tête qui me tourne,i feel giddy,i feeling      
il fait froid ici,its cold here,its cold here     
certains poissons volent,some fish fly,some me of     
qui le fera ,who will do it,who drew it     
cest maintenant que jai besoin daide,i need help now,this is help     
tu es nouveau ,are you new,youre again      
il faut que je my rende seul,i must go alone,i need to alone    
je vais préparer un verre,ill fix a drink,ill get a drink    
tiens ma main,hold my hand,keep my  hand    
tout le monde déteste tom,everybody hates tom,everybody hates tom     
je me suis vraiment mise en colère,i got really mad,i just angry     
tom ne travaille pas,tom isnt working,tom doesnt work     
fermez la fenêtre,shut the window,close the window     
tom nest pas apparu,tom didnt appear,tom isnt not     
ils gagnaient du temps,they were buying time,they have time     
donnemen quelquesuns,give me a few,give me of knife    
je lève des fonds,i raise funds,im have up     
nous bûmes beaucoup,we drank a lot,we have a  lot   
tom est assis,tom is sitting,tom is      
jai un mauvais rhume,i have a bad cold,i have a bad cold   
cela ressemble à une vache,it looks like a cow,this looks like a    
voici à quoi sattendre,heres what to expect,heres whats your     
reste tranquille ,keep still,keep quiet      
il a piqué une crise,he went ballistic,he hit a  heart   
mastu compris ,did you understand me,did you  me    
je suis célibataire,im unmarried,i am single bachelor    
jaccepte vos excuses,i accept your apology,i accept your apology    
cest ton unique occasion,its your only chance,thats your only chance    
il ma fait chanter,he made me sing,he dumped me     
on croit en toi,we believe in you,its about you     
je rêve beaucoup,i dream a lot,i often a lot    
nous sommes toutes pourvues doreilles,weve all got ears,were all ears     
estce que tu le crois lui ,do you believe him,do you believe him    
avec qui êtesvous allées ,who did you go with,who did you go to   
cest une escroquerie,this is a scam,thats a conspiracy     
nous avons tous des gosses,we all have kids,we all have kids    
cétait beaucoup dargent,it was lots of money,it was a lot of   
on va partager,well share,well go      
estce que cest une bonne chose ,is that a good thing,is that a good thing   
va voir qui cest,go and see who it is,go and who  is   
tom coupait les tomates,tom cut the tomatoes,tom is jumped     
que ressenton ,how does it feel,what  missing     
tom semble distrait,tom seems distracted,tom seems distracted     
ce nest pas bizarre,it isnt weird,thats not weird     
je lai mise dans votre chambre,i put it in your room,i put it your  room  
quand estelle née ,when was she born,when is he hidden    
jespère que ça ne vous ennuie pas,i hope you dont mind,i hope you dont mind   
tom est resté immobile,tom sat still,tom sat hungry     
cest ton stylo ,is this your pen,is this your pen    
ils savent que nous sommes ici,they know were here,they know we were here   
cest sans danger ici,its safe here,its safe here     
vous êtes surmené,youre overworked,youre overworked      
il a accepté mon idée,he accepted my idea,he asked my  idea   
ça na pas été un accident,it wasnt an accident,it wasnt an accident    
elle lapprécia,she liked that,she liked it     
laisse faire,let it be,leave it      
jette un œil ,have a look,take a look     
avezvous froid ,are you cold,are you cold     
donnezmoi vos clés ,give me your keys,give me your keys    
ma batterie est vide,my battery is dead,my the is     
elle nest pas mariée,she isnt married,shes isnt married     
ce nétait pas mon idée,it wasnt my idea,that wasnt my idea    
tom essaya de ne pas pleurer,tom tried not to cry,tom tried to crying    
tom adore le ski,tom loves to ski,tom loves skiing     
je sais que tom est là,i know that tom is in,i know tom is    
tu es fantasque,youre temperamental,youre temperamental      
il est pareil à luimême,he is his usual self,its hot      
je fus heureux pour lui,i was happy for him,i was happy for him   
voilà le hic,thats the snag,heres for      
tout le monde la fait,everyone did it,everyone does it     
interrogez nimporte quelle femme,ask any woman,youll better wife     
tu ne peux pas démissionner maintenant,you cant quit now,you cant want now    
nous sommes attaqués,were under attack,were being attacked     
cest une contrefaçon,its a fake,thats a puzzle     
tom ma déçue,tom disappointed me,tom is me     
jai fait ça il y a des lustres,i did that ages ago,i did it get    
je dressai une liste,i made a list,i make a list    
comment peuxtu dire ça ,how can you say that,how can you do that   
je déteste la violence,i abhor violence,i hate violence     
ils sont coincés,theyre trapped,theyre free      
il avait besoin de largent,he needed the money,he needed money     
je ne peux pas le simuler,i cant fake it,i cant do it    
lautomne est là,autumn is here,its is here     
tout le monde dites «ouistiti»,everyone say cheese,everyone will lies     
je suis heureuse de le faire,im happy to do it,im happy to do it   
vous êtes arrogantes,youre arrogant,youre cantankerous      
peuxtu me prêter un stylo ,can you loan me a pen,can you loan me a pen  
jaime lire des livres,i like reading books,i love comic books    
jaime pêcher,i like fishing,i like to fish    
j’en ai fait l’acquisition,i acquired it,i made it     
jignore à quelle distance,i dont know how far,i dont just it    
je ferai de mon mieux,ill do my best,ill do my     
il parle vraiment bien,he speaks really well,he speaks me well    
tom sait que cest vrai,tom knows thats true,tom knows thats true    
je lai fait ainsi,i did it like this,i do it this way   
je me sens tellement impuissant,i feel so helpless,i feel so much    
nous pouvons essayer cela,we can try that,we can do this    
parlezvous chinois ,do you speak chinese,do you know french    
tom vous appréciait,tom liked you,tom liked you     
merci ,cheers,thank you      
cest très embarrassant,its very sticky,thats very brainteaser     
tu as de la diplomatie,youre diplomatic,you have the     
jai dû mentir à nouveau,i had to lie again,i had to  back again  
jaime le fromage,i like cheese,i like the     
je me suis cassé un ongle,i broke a nail,i broke my fingernail    
ferme cette porte ,shut that door,close that door     
tom a tiré trois fois,tom shot three times,tom started three headache    
tom semble satisfait,tom seems satisfied,tom seems satisfied     
je ne fais pas partie de leur groupe,im not one of them,im not in the rush   
je suis épuisée,im exhausted,im going      
tom estil de boston ,is tom from boston,is tom in boston    
je suis sérieux,i really mean it,im serious      
tu mas touché au cœur,you touched my heart,you touched my heart    
informezen tom,tell tom,tell tom      
navezvous pas sommeil ,arent you sleepy,arent you sleepy     
ce nest pas trop profond,its not too deep,its not too bad    
cest facile de voir pourquoi,its easy to see why,its all to i    
son histoire semble vraie,his story sounds true,his story  true    
cest foiré,this is messed up,its work      
vienstu ou non ,are you coming or not,will you coming or not   
je le rencontrai en janvier,i met him in january,i went up in    
ça a presque fonctionné,it almost worked,it was worked     
cest arrivé très vite,it happened very fast,it happened very fast    
quastu ,whatve you got,what did you     
qui a mangé avec vous ,who ate with you,who ate with     
un bateau chavira,a boat capsized,a  rose     
elle continua à pleurer,she kept on crying,she kept on crying    
cette partie était géniale,that game was awesome,this was  awesome    
nous nous en sommes amusées,we had fun with it,we made fun     
arrêtez de me fixer des yeux ,stop staring at me,stop staring at me    
nous nous sommes embrassés,we hugged each other,we kissed      
laissezmoi rester sil vous plaît,please let me stay,please let me stay    
ditesnous en plus,tell us more,tell us to     
tom est mince,tom is slim,tom is thin     
cassezvous,back off,get away      
je suis en train de me noyer,im drowning,im work the bench    
il a été au magasin,he went to the store,he used  the store   
je me suis senti un peu fatigué,i felt a bit tired,i felt a little tired   
tom alluma la télévision,tom turned on the tv,tom lit the     
ne soyez pas contrariée ,dont be upset,dont be upset     
essayez de nouveau,try once again,try again      
le reste sera facile,the rest will be easy,the waits is easy    
pourquoi estu en train dattendre ,why are you waiting,why are you waiting    
ça ira très bien pour elle,shell be just fine,well be  right    
ça a un goût affreux,that tastes terrible,this tastes terrible     
je te montrerai ma chambre,ill show you my room,ill show you my room   
il aime la nourriture italienne,he likes italian food,he likes the food    
estce que cest arrivé ,has it arrived,did that happen     
prends un encas ,have a snack,have a snack     
lavetoi les pieds,wash your feet,wash your feet     
laisse le chien dehors,keep the dog out,take the dog out    
salut entrez,hi come on in,hello       
cest ma chatte,thats my cat,this is my cat    
qui a payé pour ça ,who paid for that,she asked for this    
le bébé pleura,the baby cried,the baby went up    
jai un nouveau travail,i have a new job,i have a job    
à quoi sert tout ça ,whats all that for,whats there all     
je ferai mon sac,ill pack my bag,ill get my bag    
cest un cadeau pour vous,this gift is for you,this is a for you   
tentez votre chance,just give it a shot,get your      
il ny arrivera pas,he wont make it,he wont make it    
je ferai ça à ma façon,i will do it my way,ill do it my own   
je suis distrait,im forgetful,im forgetful      
estu leur mère ,are you their mother,are you their mother    
cest enfin terminé,its finally over,its all      
quand lemployezvous ,when do you use it,when will  arrive    
jattrape fréquemment froid,i often catch colds,i will be a    
me le direzvous ,will you tell me,i me it     
il y a beaucoup de pièces,there are many rooms,there are a     
apporte ça ici,bring that here,bring that here     
cest pour ça que jai arrêté,thats why i quit,thats all i called    
saisissez ceci ,grab hold of this,take this      
mon français est limité,my french is limited,my french is     
connaissezvous ma femme ,do you know my wife,do you know my hair   
vous ne travaillez pas ici,you dont work here,you dont work here    
jai été disqualifié,i was disqualified,i was beaten     
jirai en avant,i will go on ahead,ill go ahead     
il a demandé de laide,he asked for help,he called for help    
nous sommes en train de jouer aux cartes,were playing cards,were at      
croismoi sil te plaît,please trust me,please  back     
nous avons tous bien réussi,we all did well,we all did well    
nous la cuisîmes ensemble,we baked it together,we baked it together    
nous ne trouvons pas ça drôle du tout,we are not amused,we dont that so sure   
nous voulons aider,we want to help,we want to help    
tout était terminé,it was all done,all  over     
étaitce une blague ,was it a joke,was it a explosion    
personne ne nous la dit,no one told us,no one asked     
cest en trop,its redundant,thats too      
cen est une grosse,its a large one,thats a big     
ce plan a échoué,that plan failed,thats plan      
elles sont géniales,theyre great,theyre awesome      
elle ladmirait,she admired him,she admired her     
il fit comme je lui avais dit,he did as i told him,he did me to told   
obtiensmoi les preuves ,get me the evidence,let me some     
tom aidait tout le monde,tom helped everybody,tom helped someone     
ça a fonctionné ,did that work,it worked      
faisonsle,lets do it,lets do it     
aimezvous étudier ,do you like studying,do you enjoy to study   
tom est déterminé,tom is determined,tom is driven     
que devraisje porter ,what should i wear,how should i helpful    
nous devons respecter la loi,we must obey the law,we must to the    
ils chantaient en chœur,they sang in chorus,they have it     
tout est cassé,everything is broken,everything is      
cest trop dangereux ,its too dangerous,its is dangerous     
jai horreur de faire des régimes,i hate dieting,i hate exercising     
je pense que tom peut maider,i think tom can help,i think tom can help   
metstoi sur le dos,turn on your back,get on my bed    
le connaissaistu bien ,did you know him well,wind is well     
je suppose que cest vrai,i suppose thats true,i guess thats true    
inscrivezvous,sign up,take it      
tom a lair satisfait,tom looks satisfied,tom seems satisfied     
nous ne voulons que toi,we only want you,we mean want you    
je te crois,i believe you,i believe you     
qui a laissé le chien entrer ,who let the dog in,who owns the dog    
expliquezmoi cela,explain that to me,itll that      
je suis reconnaissant,im grateful,i am      
ça se base sur des faits,this is based on fact,im doesnt it     
je suis un étranger ici,i am a stranger here,im a  stranger here   
jen ai marre de vous,im sick of you,im sick of     
cest la salle 839,this is room 839,this is the 839    
vous le méritez,it serves you right,you deserve cops     
partagestu une chambre ,do you share a room,sing a  room    
je lai fait moimême,i did it myself,i made it myself    
cest magnifique ,its wonderful,thats is awesome     
elles étaient soldats,they were soldiers,they were soldiers     
je suis dans le couloir de la mort,im on death row,i am at death    
nous étions toutes seules,we were all alone,we were all alone    
il sest enquis de toi,he asked about you,he got about you    
je me sens impuissante,i feel powerless,i feel dizzy     
cest un nègre,hes a ghostwriter,thats a      
cela maideraitil ,would it help me,that makes      
de quoi astu besoin ,what do you need,what do you need    
jai trouvé un bon emploi,ive found a good job,ive found a good job   
je déteste mon colocataire,i hate my roommate,i hate my roommate    
elle est hors de danger,she is out of danger,shes out of     
ce nest pas si facile,its not so easy,thats not so easy    
il joue toujours bien,he always plays well,he still always     
personne ne veut parler,no one will talk,no one wants to speak   
nous sommes gavés,were stuffed,were free      
nous combattrons,were going to fight,were going      
il sest décidé,he made up his mind,he has gone     
nous ne devons pas abandonner,we must not give up,we dont have give up   
je nétais pas préparée,i was unprepared,i wasnt enough     
tom a surpris marie,tom caught mary,tom  mary     
si pas maintenant quand ,if not now when,now wont so now    
montrezmoi ,show me,let me to     
il na pas lair heureux,he doesnt look happy,he doesnt look happy    
cest vous le doyen,youre the oldest,youre the oldest     
jai quelques dollars,i have a few dollars,i have a few calls   
je déteste les lundis,i hate mondays,i hate sundays     
jai oublié mon portemonnaie,i forgot my wallet,i forgot my address    
combien de temps cela atil duré ,how long did it last,how long did he take   
je te le prouverai,ill prove it to you,ill lend it     
vous coopérez,youre cooperating,are you      
tout le monde a attendu,everyone waited,everybody stopped      
nous avons confiance,were confident,we trust      
je devrais aller au lit,i should go to bed,i must go to bed   
quand cela a été construit ,when was it built,how was did it    
puisje lessayer ,can i try this on,may i try on    
continue à parler,keep talking,keep talking      
je prendrai celleslà,ill take those,ill take those     
que se passetil maintenant ,what happens now,whats going on now    
je veux un ordinateur portable,i want a notebook,i want a laptop    
jen ai assez entendu,ive had enough,i have enough     
jadore la poésie,i love poetry,i love this poem    
ne paniquons pas,lets not panic,dont overdo      
il a un visage rond,he has a round face,he has a round face   
je peux lire,i can read,i can read     
je dispose de pas mal de temps,i have lots of time,i have no     
tom nous doit une faveur,tom owes us a favor,tom must us a favor   
il me faut de la nourriture,i need food,i need food     
personne dautre ny était,nobody else was there,no one else was there   
ça a pris toute la journée,it took all day,it took the day    
ça signifiait non,that meant no,it really no     
ils souriaient tous,they were all smiling,they were all smiling    
il sest incliné devant la reine,he bowed to the queen,he bowed in the queen   
essayez de ne pas rigoler,try not to laugh,try not to laugh    
pourquoi estu venu ,why did you come,why did you come    
cest mon garçon,thats my boy,he is my boy    
jai besoin de davantage dargent,i need more money,i need more money    
cétait incroyable,it was amazing,that was amazing     
jy étais ce jourlà,i was there that day,i was this that day   
tom lui a tiré dessus,tom shot him,tom shot him     
puisje utiliser ton stylo ,can i use your pen,may i use your pen   
ne sois pas folle ,dont be crazy,dont be crazy     
jouezvous dans un orchestre ,do you play in a band,do you  a banana   
nous nétions pas prêtes,we werent ready,we have ready     
tu me fais mal,you hurt me,youre hurting me     
comme tu es mignonne,youre so cute,how are pretty     
ne faites pas votre poule mouillée,dont be a chicken,dont get your off    
il tint parole,he kept his word,he gave for word    
nestce pas sympa ,isnt it nice,isnt that nice     
je mange une pomme,i am eating an apple,im eating an apple    
ce jeu est facile,this game is easy,this part is easy    
je suis en colère après vous,im mad at you,im  angry you    
estce que tu aimes la bière ,do you like beer,do you like beer    
tom était de bonne humeur,tom was cheerful,tom was      
elle est en danger,shes in danger,shes in danger     
tom est militant,tom is an activist,tom is free     
comment vous êtesvous tous deux rencontrés ,how did you two meet,what did you two    
tom appellera,tomll call,tom is      
continue à rouler ,keep driving,keep on      
ça se tient,it makes sense,this makes sense     
aidenous je te prie ,please help us,help us please     
tom a lair curieux,tom looks curious,tom looks curious     
je dispose de nourriture,i have food,i have food     
nous sommes puissantes,were powerful,were powerful      
comment êtesvous parvenu ici ,how did you get here,how did you get here   
courage ,cheer up,lets it      
appelez tom,call tom,give tom      
montremoi ton tatouage,show me your tattoo,show me your tattoo    
il a tendance à raconter des mensonges,he tends to tell lies,he tell lies     
toutes deux ont ri,they both laughed,all  laughed     
jaime votre sourire,i like your smile,i like your smile    
